8,65
44,66
80,68
116,33
152,65
188,64
224,65
260,63
296,255
332,255
368,255
404,255
440,255
476,255
512,255
548,255
584,255
620,255
656,255
692,255
728,41
764,43
800,37
836,40
872,39
908,41
944,37
980,37
1016,38
1052,255
1088,39
1132,40
1168,255
1204,39
1240,255
1276,40
1312,255
1348,255
1384,41
1420,255
1456,255
1492,255
1528,255
1564,255
1600,255
1636,255
1672,255
1708,255
1744,255
1780,255
1816,255
1852,255
1888,255
1924,255
1963,255
1999,255
2035,255
2079,255
2115,255
2152,255
2188,255
2224,255
2260,255
2296,255
2332,255
2368,255
2404,255
2440,255
2476,255
2512,255
2548,255
2584,255
2620,153
2656,255
2692,147
2728,143
2764,140
2800,138
2836,135
2872,133
2908,130
2944,128
2980,125
3024,122
3060,119
3096,117
3132,114
3169,112
3205,110
3241,107
3277,105
3313,102
3349,100
3385,98
3421,96
3457,94
3493,92
3529,90
3565,87
3601,85
3637,84
3673,82
3709,80
3745,78
3781,76
3817,74
3853,72
3889,69
3925,67
3961,65
4005,63
4041,60
4077,58
4113,55
4149,53
4185,50
4221,48
4257,46
4293,43
4329,41
4365,38
4401,36
4437,34
4473,32
4509,30
4545,29
4581,27
4617,26
4653,24
4689,23
4725,23
4761,22
4797,22
4833,22
4869,21
4905,21
4941,20
4977,20
5021,20
5057,20
5093,21
5129,21
5165,22
5201,22
5237,23
5273,24
5309,27
5345,29
5381,32
5417,34
5453,37
5489,40
5525,44
5561,47
5597,50
5633,54
5669,57
5705,61
5741,65
5777,69
5813,74
5849,77
5885,81
5921,85
5957,89
5993,93
6029,96
6073,100
6109,104
6145,107
6181,111
6217,113
6253,116
6289,119
6325,122
6361,125
6397,128
6433,131
6469,133
6505,136
6541,138
6577,255
6613,255
6649,255
6685,146
6721,255
6757,255
6793,49
6829,52
6865,48
6901,35
6937,34
6973,32
7017,32
7053,31
7089,32
7125,255
7161,32
7197,31
