0	525
1	526
2	526
3	526
4	527
5	527
6	526
7	527
8	526
9	526
10	526
11	525
12	524
13	525
14	525
15	525
16	525
17	526
18	525
19	525
20	526
21	525
22	525
23	525
24	524
25	525
26	527
27	526
28	526
29	526
30	526
31	527
32	527
33	527
34	526
35	527
36	527
37	527
38	527
39	527
40	527
41	527
42	527
43	527
44	527
45	526
46	527
47	527
48	527
49	527
50	527
51	527
52	527
53	527
54	527
55	526
56	527
57	527
58	527
59	527
60	527
61	527
62	527
63	527
64	527
65	528
66	527
67	527
68	527
69	527
70	527
71	528
72	527
73	527
74	527
75	527
76	527
77	527
78	527
79	527
80	527
81	527
82	528
83	527
84	527
85	527
86	527
87	527
88	528
89	527
90	528
91	527
92	528
93	528
94	528
95	527
96	527
97	527
98	528
99	528
100	527
101	527
102	527
103	527
104	527
105	527
106	527
107	527
108	527
109	527
110	528
111	528
112	527
113	528
114	528
115	528
116	528
117	528
118	528
119	528
120	528
121	528
122	528
123	528
124	528
125	528
126	527
127	528
128	528
129	528
130	528
131	527
132	527
133	528
134	527
135	527
136	528
137	528
138	527
139	527
140	527
141	527
142	527
143	527
144	527
145	528
146	527
147	527
148	527
149	527
150	527
151	527
152	527
153	527
154	526
155	527
156	527
157	526
158	526
159	526
160	526
161	527
162	526
163	526
164	526
165	526
166	526
167	526
168	526
169	525
170	526
171	525
172	525
173	525
174	525
175	525
176	524
177	525
178	525
179	523
180	523
181	523
182	521
183	520
184	520
185	519
186	517
187	516
188	514
189	513
190	511
191	509
192	506
193	503
194	499
195	498
196	496
197	494
198	490
199	489
200	486
201	485
202	483
203	483
204	484
205	484
206	487
207	490
208	494
209	498
210	504
211	509
212	515
213	520
214	530
215	535
216	543
217	547
218	555
219	560
220	564
221	567
222	572
223	576
224	579
225	582
226	584
227	586
228	588
229	591
230	593
231	594
232	595
233	595
234	596
235	597
236	598
237	598
238	598
239	599
240	599
241	599
242	600
243	600
244	600
245	600
246	600
247	600
248	600
249	600
250	600
251	600
252	600
253	600
254	600
255	600
256	601
257	601
258	600
259	600
260	600
261	600
262	600
263	601
264	602
265	602
266	601
267	600
268	600
269	600
270	600
271	600
272	601
273	601
274	601
275	601
276	600
277	600
278	600
279	600
280	601
281	601
282	601
283	602
284	602
285	602
286	602
287	602
288	602
289	602
290	602
291	602
292	602
293	603
294	603
295	603
296	603
297	603
298	603
299	603
300	603
301	603
302	603
303	603
304	603
305	603
306	603
307	603
308	603
309	603
310	603
311	603
312	603
313	603
314	603
