8	239
69	241
130	241
191	238
252	229
313	214
374	200
435	194
496	215
557	232
618	245
679	267
740	271
801	269
862	266
923	260
984	249
1046	232
1108	215
1170	196
1232	183
1294	172
1356	165
1418	159
1480	155
1542	151
1604	149
1927	167
2076	197
2138	211
2200	229
2262	248
2324	263
2386	281
2448	297
2510	314
2572	334
2634	352
2696	365
2758	367
2820	367
2882	367
2944	370
3006	372
3068	375
3130	379
3192	384
3254	387
3320	389
3384	389
3446	389
3508	391
3570	391
3917	400
4074	454
4136	477
4198	497
4260	513
4322	525
4384	537
4446	547
4508	556
4570	563
4632	566
4694	568
4756	567
4818	567
4880	567
4942	567
5004	566
5066	564
5128	563
5190	562
5252	560
5314	559
5376	563
5438	566
5500	554
5871	413
6036	383
6098	382
6160	380
6222	381
6284	381
6346	382
6408	382
6470	380
6532	379
6594	379
6656	378
6723	379
6787	380
6849	379
6911	378
6973	378
7035	379
7097	378
7159	378
7221	375
7283	373
7345	373
7407	375
7469	381
7531	386
7926	393
8099	389
