r	g	b
1	561	560	560
2	563	562	561
3	565	565	564
4	559	558	558
5	567	567	566
6	564	564	563
7	567	565	564
8	568	568	567
9	563	563	562
10	571	570	569
11	568	568	568
12	564	562	563
13	570	570	568
14	571	570	569
15	572	571	570
16	566	566	566
17	570	569	568
18	569	568	567
19	566	565	564
20	572	572	571
21	570	570	569
22	565	565	564
23	572	571	570
24	572	572	571
25	567	567	566
26	570	569	567
27	573	573	571
28	570	569	569
29	567	567	566
30	573	573	572
31	572	571	571
32	566	566	565
33	573	573	571
34	575	574	573
35	570	570	569
36	574	574	573
37	570	571	570
38	569	568	567
39	575	575	574
40	573	574	573
41	568	568	567
42	575	573	572
43	575	574	573
44	571	570	569
45	572	572	570
46	577	576	575
47	572	572	571
48	569	569	567
49	573	575	574
50	574	574	573
51	570	570	568
52	577	576	575
53	571	573	570
54	573	572	571
55	577	577	575
56	574	573	572
57	569	569	568
58	576	576	575
59	576	576	574
60	570	568	569
61	576	575	573
62	578	576	577
63	572	571	571
64	573	572	572
65	578	577	576
66	575	574	573
67	571	571	570
68	577	576	576
69	572	573	571
70	571	572	570
71	575	575	574
72	571	571	570
73	567	566	565
74	572	570	570
75	569	569	568
76	562	563	562
77	566	565	565
78	565	565	565
79	558	559	559
80	557	556	557
81	560	559	560
82	556	555	558
83	551	552	555
84	556	556	559
85	553	553	557
86	544	543	548
87	540	540	545
88	533	532	538
89	526	525	531
90	526	525	530
91	520	519	526
92	512	512	518
93	505	503	510
94	506	505	511
95	504	502	510
96	496	495	503
97	496	494	502
98	498	497	504
99	496	494	501
100	494	494	501
101	496	496	503
102	496	495	503
103	496	495	503
104	497	497	504
105	495	494	502
106	494	493	501
107	498	497	505
108	495	495	503
109	492	490	499
110	495	494	501
111	496	495	503
112	493	492	500
113	494	493	501
114	495	493	502
115	493	492	499
116	491	490	498
117	493	492	501
118	493	492	500
119	492	491	499
120	493	493	501
121	490	489	497
122	489	487	495
123	493	492	499
124	492	491	500
125	488	487	496
126	493	491	498
127	494	493	500
128	493	491	499
129	498	493	500
130	502	497	503
131	503	498	503
132	506	499	503
133	514	505	508
134	518	507	509
135	524	511	510
136	530	516	515
137	531	514	514
138	533	515	515
139	542	524	524
140	545	526	524
141	543	524	523
142	547	529	528
143	548	531	531
144	545	530	528
145	549	532	530
146	550	533	533
147	548	530	530
148	550	531	529
149	554	537	535
150	552	533	535
151	550	533	531
152	554	538	536
153	551	535	533
154	547	530	529
155	552	535	535
156	553	536	535
157	549	532	530
158	552	534	534
159	552	535	535
160	549	532	532
161	551	535	533
162	555	536	537
163	550	533	532
164	547	531	530
165	554	538	536
166	553	536	536
167	550	534	532
168	553	536	535
169	554	539	537
170	550	533	535
171	549	533	533
172	553	536	536
173	550	536	534
174	549	532	531
175	552	536	535
176	550	535	535
177	545	529	530
178	548	533	532
179	547	531	532
180	538	524	524
181	537	521	521
182	538	524	522
183	526	514	511
184	523	510	508
185	516	506	504
186	504	499	494
187	499	491	489
188	493	489	486
189	483	480	478
190	473	471	469
191	471	470	468
192	463	462	460
193	453	452	450
194	451	448	448
195	451	450	448
196	443	442	440
197	441	440	438
198	444	443	441
199	440	438	437
200	441	440	437
201	442	439	439
202	440	440	438
203	441	440	438
204	443	441	439
205	441	440	438
206	439	438	435
207	444	443	440
208	442	442	439
209	438	438	435
210	441	441	436
211	442	442	440
212	439	439	437
213	442	440	437
214	447	446	442
215	441	441	439
216	444	443	441
217	448	446	443
218	445	445	441
219	445	444	442
220	447	446	446
221	445	445	443
222	442	442	440
223	450	448	446
224	449	449	446
225	445	446	443
226	451	451	448
227	455	455	453
228	453	454	453
229	454	454	453
230	461	460	460
231	462	462	463
232	467	466	469
233	472	471	475
234	473	472	474
235	476	475	480
236	482	481	487
237	485	484	490
238	488	487	493
239	497	495	501
240	497	497	503
241	496	495	501
242	501	499	504
243	504	503	509
244	502	502	509
245	501	501	507
246	503	501	506
247	507	507	513
248	504	503	510
249	505	504	510
250	508	507	513
251	506	505	511
252	507	504	509
253	508	507	513
254	506	507	513
255	504	503	510
256	506	507	512
257	508	506	512
258	505	504	510
259	507	507	512
260	506	508	514
261	505	506	511
262	505	504	509
263	509	509	514
264	506	505	512
265	506	505	511
266	509	507	513
267	508	506	512
268	505	504	509
269	508	507	513
270	507	507	513
271	507	505	509
272	510	508	514
273	511	509	515
274	508	507	513
275	512	510	515
276	517	514	518
277	514	513	518
278	517	512	516
279	525	520	522
280	527	520	522
281	531	523	524
282	537	528	527
283	538	528	528
284	542	529	530
285	550	536	536
286	553	538	538
287	553	537	537
288	560	543	541
289	562	546	545
290	560	545	543
291	562	548	546
292	566	551	550
293	563	548	548
294	562	545	545
295	568	552	552
296	564	549	548
297	566	549	548
298	568	553	552
299	567	552	551
300	566	549	548
301	570	554	553
302	568	552	551
303	565	549	547
304	568	552	551
305	570	553	552
306	566	550	549
307	567	551	550
308	570	555	554
309	569	552	552
310	566	550	548
311	572	556	555
312	568	551	551
313	569	552	550
314	572	556	554
315	570	554	555
316	567	551	550
317	571	555	554
318	571	555	553
319	568	551	550
320	570	553	552
321	570	554	554
322	565	551	550
323	565	550	549
324	561	547	546
325	561	547	546
326	555	544	540
327	550	538	536
328	544	533	532
329	536	526	524
330	529	520	518
331	525	517	516
332	514	508	507
333	504	500	498
334	502	499	497
335	497	496	494
336	486	485	484
337	482	481	480
338	481	480	477
339	476	474	472
340	472	471	470
341	471	470	469
342	471	469	469
343	472	470	469
344	471	470	469
345	468	466	465
346	468	466	464
347	472	470	469
348	470	469	468
349	465	465	464
350	470	468	465
351	473	471	469
352	469	467	466
353	469	468	466
354	471	468	467
355	470	469	466
356	470	468	467
357	472	471	470
358	470	468	468
359	472	471	469
360	474	472	472
361	469	469	468
362	470	468	466
363	475	472	470
364	473	472	472
365	471	469	467
366	472	471	469
367	474	472	471
368	471	471	470
369	474	472	470
370	475	473	472
371	475	474	473
372	478	476	476
373	479	480	481
374	482	480	482
375	484	484	485
376	492	490	491
377	490	489	493
378	492	492	495
379	498	497	503
380	501	502	507
381	503	502	508
382	509	508	513
383	514	513	518
384	516	514	521
385	518	518	523
386	521	520	526
387	520	520	525
388	521	520	526
389	525	524	530
390	524	524	529
391	523	523	528
392	527	526	531
393	525	525	530
394	525	524	529
395	527	526	532
396	525	526	531
397	524	524	530
398	526	526	532
399	527	526	531
400	526	526	531
401	523	524	530
402	527	526	532
403	528	527	533
404	525	525	530
405	525	526	530
406	526	527	532
407	525	523	529
408	527	527	531
409	529	529	533
410	527	526	532
411	526	526	531
412	527	527	530
413	525	525	529
414	524	523	529
415	527	526	531
416	526	525	529
417	523	523	527
418	526	525	530
419	528	527	533
420	526	525	530
421	529	526	530
422	533	530	535
423	533	529	533
424	537	534	535
425	541	536	538
426	544	536	538
427	547	539	539
428	552	542	542
429	554	544	542
430	557	544	544
431	566	551	551
432	568	553	552
433	568	553	551
434	573	557	556
435	577	560	559
436	575	559	558
437	576	560	557
438	580	564	563
439	578	560	560
440	581	565	564
441	581	565	564
442	580	563	562
443	581	563	562
444	584	566	565
445	582	564	563
446	580	563	560
447	585	567	565
448	583	566	565
