r	g	b
449	580	562	561
450	582	564	562
451	585	566	565
452	582	564	562
453	581	562	561
454	585	566	564
455	582	563	561
456	583	565	563
457	584	566	564
458	582	564	561
459	583	563	561
460	584	566	565
461	582	564	563
462	580	562	559
463	584	566	565
464	584	566	565
465	581	562	561
466	583	565	562
467	586	569	566
468	582	565	564
469	581	563	562
470	583	566	565
471	580	562	560
472	581	563	561
473	577	562	561
474	572	556	552
475	568	552	549
476	568	552	550
477	559	545	544
478	551	541	537
479	541	532	528
480	535	527	524
481	526	521	519
482	515	512	508
483	504	503	499
484	502	501	497
485	494	494	492
486	487	487	484
487	485	485	481
488	482	481	476
489	477	477	473
490	478	478	476
491	477	477	473
492	475	474	470
493	477	477	475
494	477	479	475
495	478	476	472
496	476	476	472
497	480	479	475
498	476	476	474
499	476	474	471
500	477	477	473
501	477	477	473
502	475	474	472
503	479	478	475
504	476	476	473
505	475	474	471
506	477	476	475
507	477	476	474
508	475	475	471
509	476	477	473
510	478	478	475
511	475	475	473
512	476	478	473
513	478	477	474
514	476	475	472
515	474	474	471
516	477	478	475
517	478	478	475
518	474	475	471
519	481	480	477
520	480	481	478
521	481	480	477
522	488	487	484
523	494	493	491
524	497	497	495
525	509	509	507
526	520	519	517
527	525	526	523
528	535	534	531
529	543	543	541
530	545	545	544
531	550	549	548
532	560	559	558
533	565	565	564
534	568	567	566
535	581	580	579
536	583	583	582
537	586	585	584
538	594	593	592
539	597	597	596
540	598	598	597
541	605	605	604
542	610	609	610
543	611	610	609
544	613	613	611
545	618	617	617
546	619	618	617
547	619	618	618
548	625	625	624
549	626	626	626
550	624	623	623
551	631	631	630
552	629	629	630
553	627	627	626
554	631	631	631
555	630	630	630
556	628	627	625
557	631	630	629
558	629	631	629
559	627	626	625
560	628	625	625
561	626	624	623
562	628	627	625
563	625	624	624
564	622	621	620
565	627	624	622
566	624	624	623
567	621	620	618
568	623	622	621
569	620	619	618
570	615	614	614
571	618	617	615
572	616	615	614
573	610	609	608
574	610	609	608
575	607	608	606
576	603	603	602
577	599	596	597
578	600	600	599
579	595	593	592
580	588	587	586
581	589	588	587
582	585	584	583
583	579	578	575
584	578	578	576
585	576	574	574
586	573	572	570
587	577	575	574
588	577	575	574
589	574	572	570
590	576	574	573
591	578	577	575
592	577	574	573
593	574	573	571
594	577	576	574
595	575	574	572
596	572	571	570
597	577	576	574
598	576	576	575
599	573	572	570
600	578	577	576
601	576	575	574
602	573	571	571
603	577	576	574
604	578	576	576
605	574	573	571
606	575	575	573
607	579	577	577
608	578	576	574
609	572	573	572
610	579	578	576
